"filetBoeufSauP","filet de boeuf à la sauce piquante","cuisine","4000.0",1084,"1.0","filetBoeuf","1.0",,,,,,,,
"verreMoussCC","1/14 vin mousseux","conso","2500.0",501,"1.0","cremAlsM","0.07",,,,,,,,
"elom","cocktail elom","cocktail","4000.0",682,"2.0","cremAlsM","0.07","sucreCan","0.07",,,,,,
"tgvRoyal","cocktail tgv royal","cocktail","8000.0",972,"2.0","cremAlsM","0.07","stoli","0.07",,,,,,
"theCitron","thé lipton au citron","boissonChaude","1500.0",95,"1.0","lipton","1.0",,,,,,,,
"gbekuin","légume","cuisine","4000.0",1182,"5.0","poissonFume","1.0","agneauOs","0.5","wangache","1.0","agbama","1.0","crabe","1.0"
"patRouges","patte rouge","cuisine","1000.0",300,"1.0","farineRouge","0.25",,,,,,,,
"broPoisson","1 portion darne de poisson","cuisine","4000.0",1763,"1.0","poisson","1.0",,,,,,,,
"suzeC","conso de suze","conso","2500.0",364,"1.0","suze","0.06",,,,,,,,
"broMixte","mini brochette mixte","cuisine","2000.0",1138,"3.0","filetBoeuf","0.5","blancPoulet","0.5","merguez","0.5",,,,
"stoliC","conso stoli","conso","2000.0",471,"1.0","stoli","0.07",,,,,,,,
"vinR1V","un verre de vin rouge","conso","5000.0",896,"1.0","chretMerl","0.25",,,,,,,,
"planB","coctail plan B","cocktail","6000.0",1930,"5.0","agavita","0.07","gordons","0.07","stoli","0.07","absenta","0.07","kamel","0.07"
"ganhi","cocktail ganhi","cocktail","3500.0",557,"2.0","stJamesB","0.05","sucreCan","0.07",,,,,,
"ricardC","1 conso de ricard","conso","2000.0",470,"1.0","ricard","0.06",,,,,,,,
"sGinger1V","verre de sirop ginger","conso","1000.0",150,"1.0","sGinger1L","0.1",,,,,,,,
"quartierJac","cocktail quartier Jac","cocktail","3000.0",701,"2.0","agavita","0.07","sirop1L","0.14",,,,,,
"pommeSaute","portion de pomme","cuisine","1000.0",120,"1.0","pommeKG","0.5",,,,,,,,
