moetNectar,bout moet c. nectar,champagne,80000.0
camusVSOP,bout camus VSOP,cognac,70000.0
lucBelFantome,bout luc bellaire fantome,champagne,60000.0
taraniBM,tarani blanc Moeulleux,vinBlanc,15000.0
tElCobrizo,tequila el cobrizo,diversAlcool,20000.0
grimbergen,grimbergen bière kriet,bière,2000.0
droitBouchon,droit de bouchon,diversAlcool,10000.0
speedEnergy,speed energy,énergétique,2000.0
moetNect,moet chandon nectar,champagne,115000.0
moetNectRo,meot nectar Rosé,champagne,115000.0
monsBordSup,monsieur de bordeau superieur,vinRouge,25000.0
chatMoinesMen,chateau moines menodin,vinRouge,15000.0
farineBle,farine de blé ,cuisine,0.0
haussSyRo,haussmann Syrah Rosé,vinRosé,15000.0
haussCabSauv,haussmann cabernet sauvignon,vinRouge,15000.0
haricotV,haricot vert,cuisine,1000.0
vodkaFili,vodka filirt,diversAlcool,20000.0
verreCV,verre à vin casse,verreCasse,2000.0
BlackColaEnergy,black cola Energy drink,énergétique,2000.0
chatGrandJardin,vin rouge chat grand jardin,vinRouge,20000.0
glenB12L,glenfiddich 12 ans un litre,whisky,80000.0
carilloR,bouteille de vin rouge carillonade,vinRouge,20000.0
rempVirou,remparts du virou,vinRouge,25000.0
magnumRempVir,magnum les remparts du Virou,vinRouge,45000.0
chatBelAir,chateau Bel Air,vinRouge,25000.0
chatHautRoulet,chateau Haut Roulet,vinRouge,20000.0
verreBW,verre a bierre ou wisky,verreCasse,2000.0
celeneCRBrut,bouteil de vin mouseux,vinMousseux,25000.0
prosecco,bouteil de vin mousseux,vinMousseux,35000.0
coolR,bouteille de vin mousseux,vinMousseux,15000.0
comteJoseph,comte Joseph,cognac,110000.0
comteJosephHA,comte Joseph Hors Age,cognac,120000.0
premius,vin blanc Premius,vinBlanc,25000.0
comteJosephVS,comte Joseph VS,cognac,55000.0
hennessyVSOP1L,hennessy vsop 1 L,cognac,135000.0
veuveClicot,veuve clicot,champagne,80000.0
hennessyVS1L,bouteille d'un litre de hennessyVS ,cognac,70000.0
chateauLary,chateau lary,vinRouge,20000.0
jpRo1.5,jp chenet rosé 1.5 L,vinMousseux,30000.0
sauceBlokoto,sauce de blokoto,cuisine,5000.0
cocaSS,cannette de coca sans sucre,soda,2000.0
