DONNÉES;data2

Wed 13 Jan 2021

ARTICLES INVENTORIÉS
CODE;DÉSIGNATION;MIN;STOCK;PA;;PV

BIÈRE
jBanane;jus banane 1L;0;0;0;V;0
jRaisin;jus raisin 1L;0;0;0;V;0
jOrange;jus orange 1L;0;0;0;V;0
jPomme;jus pomme 1L;0;0;0;V;0
jGoyave;jus goyave 1L;0;0;0;V;0
jMangue;jus mangue 1L;0;0;0;V;0
jPamplem;jus pamplemousse 1L;0;0;0;V;0
jTamarin25;jus tamarin 25cl;0;0;0;V;0
jus1L;1 L jus;0;0;0;V;0

LAIT
lait;lait 1L;0;0;0;V;0

SIROP
sCassis;sirop de cassis;0;0;0;V;0
sCanne;sirop de canne;0;0;0;V;0
sBanane;sirop banane 1L;0;0;0;V;0
sFraise;sirop fraise 1L;0;0;0;V;0
sGrenadine;sirop grenadine 1L;0;0;0;V;0
sGinger1L;sirop gingembre 1 L;0;0;0;V;0
sMenthe;sirop menthe 1L;0;0;0;V;0
sPeche;sirop pêche 1L;0;0;0;V;0
sTamarin;sirop tamarin 1 L;0;0;0;V;0
sPassion;sirop passion;0;0;0;V;0
sPamplem;sirop pamplemousse 1L;0;0;0;V;0
sTomate;sirop tomate 1L;0;0;0;V;0
sirop1L;bout sirop;0;0;0;V;0

SODA
coca;coca 33cl;0;0;0;V;1000
sprite;sprite;0;0;0;V;1000
spriteP;sprite plastique 33cl;0;0;0;V;0
tonic;tonic 33cl;0;0;0;V;1000
cocaSS;cannette de coca sans sucre;0;0;0;V;2000

VERRECASSE
verreCV;verre à vin casse;0;0;0;V;2000
verreBW;verre a bierre ou wisky;0;0;0;V;2000

VINBLANC
marsanB;bout chat marsan blanc;0;0;0;V;0
baumeB;bout dom baume blanc;0;0;0;V;0
haussB;bout haussmann blanc;0;0;0;V;0
luisEsB;bout luis esch blanc;0;0;0;V;0
marBernB;bout marquis bern blanc;0;0;0;V;0
monbazB;bout monbazillac blanc;0;0;0;V;0
rocheMazB;bout roche mazet blanc;0;0;0;V;0
taraniB;bout tarani blanc;0;0;0;V;15000
chastSauvB;bout chastagnac Sauvignon blanc;0;0;0;V;0
granitierBM;admirable granitier blanc moelleux;0;0;0;V;15000
cotLayon;coteaux du Layon;0;0;0;V;25000
muscadetAntique;muscadet antiqe;0;0;0;V;15000
messidor;messidor;0;0;0;V;25000
chretBM;chretienne blanc moelleux;0;0;0;V;15000
taraniBM;tarani blanc Moeulleux;0;0;0;V;15000
premius;vin blanc Premius;0;0;0;V;25000

VINMOUSSEUX
cremAlsM;bou crément Alsace mousseux;0;0;0;V;0
jourSpB;bout journée spéciale blanc;0;0;0;V;0
jourSpRo;bout journée spéciale rosée;0;0;0;V;12000
jpB;bout jp chenet blanc;0;0;0;V;12000
jpRo;bout jp chenet rosé;0;0;0;V;12000
musca;bout muscador mousseux;0;0;0;V;0
martiPeRo;bout martini pétillant rosé;0;0;0;V;20000
celeneCRBrut;bouteil de vin mouseux;0;0;0;V;25000
prosecco;bouteil de vin mousseux;0;0;0;V;35000
coolR;bouteille de vin mousseux;0;0;0;V;15000
jpRo1.5;jp chenet rosé 1.5 L;0;0;0;V;30000

VINROSÉ
chastSyRo;bout chastagnac syrah rosé;0;0;0;V;0
rocheMazRo;bout roche mazet rosé;0;0;0;V;0
taraniRo;bout tarani rosé;0;0;0;V;0
calend;bout les calendières vin rosé;0;0;0;V;0
bePink;cannette de vin rosé Be Pink;0;0;0;V;2500
monsBordRo;monsieur Bordeaux rosé;0;0;0;V;20000
haussSyRo;haussmann Syrah Rosé;0;0;0;V;15000

VINROUGE
bordEru;bout bordeaux sup eru rouge;0;0;0;V;0
calvetRes;bout calvet grde reserve rouge;0;0;0;V;0
chatCol;bout chateau colombier rouge;0;0;0;V;0
chatFer;bout chateau ferrande rouge;0;0;0;V;0
chatMartin;bout chateau haut st martin rouge;0;0;0;V;0
marsanR;bout chateau marsan rouge;0;0;0;V;0
baumeR;bout domaine de la baume rouge;0;0;0;V;0
oustric;bout domaine oustric rouge;0;0;0;V;0
fiolePap;bout fiole pape rouge;0;0;0;V;0
gPalais;bout grand palais rouge;0;0;0;V;0
gPuch;bout grand puch rouge;0;0;0;V;0
haussR;bout haussmann rouge;0;0;0;V;0
balast;bout haut balastard rouge;0;0;0;V;0
chretR;bout chretienne rouge;0;0;0;V;12000
chretMerl;bout chretienne merlot rouge;0;0;0;V;0
grandNoir;bout le grd noir ;0;0;0;V;25000
noirMerl;bout le grd noir merlot rouge;0;0;0;V;25000
hMedoc;bout le haut medoc rouge;0;0;0;V;0
luisEsR;bout luis eschenauer rouge;0;0;0;V;0
bouey;bout maison bouey rouge;0;0;0;V;0
malesan;bout malesan bordeau rouge;0;0;0;V;0
monsBord;bout monsieur bordeaux rouge;0;0;0;V;0
moutCadRes;bout mouton cadet reserve;0;0;0;V;0
moutCadNor;bout mouton cadet normal rouge;0;0;0;V;20000
sagesse;bout sagesse rouge;0;0;0;V;0
rocheMazR;bout roche mazet rouge;0;0;0;V;0
mazMerl;bout roche mazet merlot rouge;0;0;0;V;0
mazSauv;bout roche mazet sauv rouge;0;0;0;V;0
marBois;bout marquis bois rouge;0;0;0;V;0
armEmil;bout armes royales st emilion rouge;0;0;0;V;0
taraniR;bout tarani rouge;0;0;0;V;15000
chastR;chastagnac  cabernet sauvignon;0;0;0;V;15000
chastMerl;chastagnac merlot;0;0;0;V;15000
haussMerl;haussmann merlot rouge;0;0;0;V;15000
haussCabS;haussmann cabernet sauvignon;0;0;0;V;15000
chatMarl;bout chateau marlène;0;0;0;V;12000
picnicR;vin rouge picnic;0;0;0;V;12000
alexanderGreat;vin rouge alexander the great;0;0;0;V;12000
chatFerboy;chateau Ferboy;0;0;0;V;15000
seigneurieEnclo;seigneurie de l'enclos 2015;0;0;0;V;20000
cadiot;cadiot 2016;0;0;0;V;30000
leBellevue;Le Belleue;0;0;0;V;12000
loireMarchaisCa;Loire Marchais Cabernet Franc;0;0;0;V;12000
chevalierLand;chevalier Landerac bx sup;0;0;0;V;20000
puissantEleg;puissant et elegant cabSauv;0;0;0;V;15000
monsBordSup;monsieur de bordeau superieur;0;0;0;V;25000
chatMoinesMen;chateau moines menodin;0;0;0;V;15000
haussCabSauv;haussmann cabernet sauvignon;0;0;0;V;15000
chatGrandJardin;vin rouge chat grand jardin;0;0;0;V;20000
carilloR;bouteille de vin rouge carillonade;0;0;0;V;20000
rempVirou;remparts du virou;0;0;0;V;25000
magnumRempVir;magnum les remparts du Virou;0;0;0;V;45000
chatBelAir;chateau Bel Air;0;0;0;V;25000
chatHautRoulet;chateau Haut Roulet;0;0;0;V;20000
chateauLary;chateau lary;0;0;0;V;20000

WHISKY
aber;bout aberlour ;0;0;0;V;0
ben;bout benriach;0;0;0;V;0
blackLab;bout black label 70 cl ;0;0;0;V;40000
blackLab1;bout black label 1L;0;0;0;V;0
cardhu;bout cardhu;0;0;0;V;60000
chivas12;bout chivas 12 ans 70cl;0;0;0;V;0
chivas12-1;bout chivas 12 ans 1L;0;0;0;V;0
chivasEx;bout chivas extra 70cl;0;0;0;V;0
chivas18;bout chivas 18 ans 70cl;0;0;0;V;0
chivas18-1;bout chivas 18 ans 1L;0;0;0;V;0
dimple;bou dimple;0;0;0;V;0
doubleBlack;bout double black 70cl;0;0;0;V;0
doubleB1;bout double black 1L;0;0;0;V;0
glenB12;bout glenfiddich blanc 12 ans 70cl;0;0;0;V;0
glenRo15;bout glenfiddich rosé 15 ans 70cl;0;0;0;V;0
glenRo18;bout glenfiddich rosé 18 ans 70cl;0;0;0;V;0
goldBar;bout gold bar 70cl;0;0;0;V;0
goldLab;bout gold label 70cl;0;0;0;V;0
jackBar;bout jack barrel 70cl;0;0;0;V;0
jackHo;bout jack honey 70cl;0;0;0;V;30000
jack;bout jack daniel 70cl;0;0;0;V;30000
jack1;bout jack daniel 1L;0;0;0;V;0
jackGent;bout jack gentleman 70cl;0;0;0;V;0
jackSilv;bout jack silver 70cl;0;0;0;V;0
jb;bout jb 70cl;0;0;0;V;0
redLab70;bout red label 70cl;0;0;0;V;0
single;bout singleton 75cl;0;0;0;V;0
glenlivet;bout glenlivet 70cl;0;0;0;V;0
will;bout williams lawson 70cl;0;0;0;V;0
jbRes;bout de jb réserve 15 ans;0;0;0;V;60000
redLab75;red label 0.75 L;0;0;0;V;30000
glenB12L;glenfiddich 12 ans un litre;0;0;0;V;80000

ÉNERGÉTIQUE
xxl;xxl 33cl;0;0;0;V;2000
power;black power ;0;0;0;V;2000
atomic;atomic 33cl;0;0;0;V;2000
redBull;red bull 33cl;0;0;0;V;2000
rox;rox 33cl;0;0;0;V;2000
speedEnergy;speed energy;0;0;0;V;2000
blackColaEnergy;black cola Energy drink;0;0;0;V;2000

ARTICLES COMPOSÉS
CODE;DÉSIGNATION;;PV;COMPOSITION

BOISSONCHAUDE
theCitron;thé lipton au citron;V;1500;lipton;1
thé;un thé avec lipton;V;1000;lipton;1
théTGV;thé spécial TGV;V;1500;sGinger1L;0,1

COCKTAIL
akpakpa;cocktail akpakpa;V;3500;kamel;0,12;sucreCan;0,04;speedEnergy;0,5
amour;cocktail Amour;V;3000;stJamesR;0,05
dapaong;cocktail dapaong;V;4000;stJamesB;0,05;stJamesR;0,05;sirop1L;0,1
elom;cocktail elom;V;4000;cremAlsM;0,07;sucreCan;0,07
ganhi;cocktail ganhi;V;3500;stJamesB;0,05;sucreCan;0,07
