INVENTAIRE;data3

Sun 17 Jan 2021

CODE;DÉSIGNATION;TH.;PHYSIQUE

BIÈRE
magnumRempVir;magnum les remparts du Virou;0
malesan;bout malesan bordeau rouge;0
marBois;bout marquis bois rouge;0
marsanR;bout chateau marsan rouge;0
mazMerl;bout roche mazet merlot rouge;0
mazSauv;bout roche mazet sauv rouge;0
monsBord;bout monsieur bordeaux rouge;0
monsBordSup;monsieur de bordeau superieur;0
moutCadNor;bout mouton cadet normal rouge;0
moutCadRes;bout mouton cadet reserve;0
noirMerl;bout le grd noir merlot rouge;0
oustric;bout domaine oustric rouge;0
picnicR;vin rouge picnic;0
puissantEleg;puissant et elegant cabSauv;0
rempVirou;remparts du virou;0
rocheMazR;bout roche mazet rouge;0
sagesse;bout sagesse rouge;0
seigneurieEnclo;seigneurie de l'enclos 2015;0
taraniR;bout tarani rouge;0

WHISKY
aber;bout aberlour ;0
ben;bout benriach;0
blackLab;bout black label 70 cl ;0
blackLab1;bout black label 1L;0
cardhu;bout cardhu;0
chivas12;bout chivas 12 ans 70cl;0
chivas12-1;bout chivas 12 ans 1L;0
chivas18;bout chivas 18 ans 70cl;0
chivas18-1;bout chivas 18 ans 1L;0
chivasEx;bout chivas extra 70cl;0
dimple;bouteille dimple;0
doubleB1;bout double black 1L;0
doubleBlack;bout double black 70cl;0
glenB12;bout glenfiddich blanc 12 ans 70cl;0
glenB12L;glenfiddich 12 ans un litre;0
glenRo15;bout glenfiddich rosé 15 ans 70cl;0
glenRo18;bout glenfiddich rosé 18 ans 70cl;0
glenlivet;bout glenlivet 70cl;0
goldBar;bout gold bar 70cl;0
goldLab;bout gold label 70cl;0
jack;bout jack daniel 70cl;0
jack1;bout jack daniel 1L;0
jackBar;bout jack barrel 70cl;0
jackGent;bout jack gentleman 70cl;0
jackHo;bout jack honey 70cl;0
jackSilv;bout jack silver 70cl;0
jb;bout jb 70cl;0
jbRes;bout de jb réserve 15 ans;0
redLab70;bout red label 70cl;0
redLab75;red label 0.75 L;0
single;bout singleton 75cl;0
will;bout williams lawson 70cl;0

ÉNERGÉTIQUE
atomic;atomic 33cl;0
blackColaEnergy;black cola Energy drink;0
power;black power ;0
redBull;red bull 33cl;0
rox;rox 33cl;0
speedEnergy;speed energy;0
xxl;xxl 33cl;0
