DONNÉES,baseC

Sun 05 Jul 2020

ARTICLES EN VENTE
CODE,DÉSIGNATION,PV
sPamplem,sirop pamplemousse 1L,0
sPassion,sirop passion,0
sPeche,sirop pêche 1L,0
sTamarin,sirop tamarin 1 L,0
sTomate,sirop tomate 1L,0
sirop1L,bout sirop,0
sirop1V,sirop,2000

SODA
coca,coca 33cl,1000
cocaSS,cannette de coca sans sucre,2000
sprite,sprite,1000
spriteP,sprite plastique 33cl,0
tonic,tonic 33cl,1000

VERRECASSE
verreBW,verre a bierre ou wisky,2000
verreCV,verre à vin casse,2000

VINBLANC
baumeB,bout dom baume blanc,0
chastSauvB,bout chastagnac Sauvignon blanc,0
chretBM,chretienne blanc moelleux,15000
cotLayon,coteaux du Layon,25000
granitierBM,admirable granitier blanc moelleux,15000
haussB,bout haussmann blanc,0
luisEsB,bout luis esch blanc,0
marBernB,bout marquis bern blanc,0
marsanB,bout chat marsan blanc,0
messidor,messidor,25000
monbazB,bout monbazillac blanc,0
muscadetAntique,muscadet antiqe,15000
premius,vin blanc Premius,25000
rocheMazB,bout roche mazet blanc,0
taraniB,bout tarani blanc,15000
taraniBM,tarani blanc Moeulleux,15000

VINMOUSSEUX
celeneCRBrut,bouteil de vin mouseux,25000
coolR,bouteille de vin mousseux,15000
cremAlsM,bou crément Alsace mousseux,0
jourSpB,bout journée spéciale blanc,0
jourSpRo,bout journée spéciale rosée,12000
jpB,bout jp chenet blanc,12000
jpRo,bout jp chenet rosé,12000
jpRo1.5,jp chenet rosé 1.5 L,30000
martiPeRo,bout martini pétillant rosé,20000
musca,bout muscador mousseux,0
prosecco,bouteil de vin mousseux,35000

VINROSÉ
bePink,cannette de vin rosé Be Pink,2500
bePinkPack,4 cannettes de vin Rosé,7500
calend,bout les calendières vin rosé,0
chastSyRo,bout chastagnac syrah rosé,0
haussSyRo,haussmann Syrah Rosé,15000
monsBordRo,monsieur Bordeaux rosé,20000
rocheMazRo,bout roche mazet rosé,0
taraniRo,bout tarani rosé,0

VINROUGE
alexanderGreat,vin rouge alexander the great,12000
armEmil,bout armes royales st emilion rouge,0
balast,bout haut balastard rouge,0
baumeR,bout domaine de la baume rouge,0
bordEru,bout bordeaux sup eru rouge,0
bouey,bout maison bouey rouge,0
cadiot,cadiot 2016,30000
calvetRes,bout calvet grde reserve rouge,0
carilloR,bouteille de vin rouge carillonade,20000
chastMerl,chastagnac merlot,15000
chastR,chastagnac  cabernet sauvignon,15000
chatBelAir,chateau Bel Air,25000
chatCol,bout chateau colombier rouge,0
chatFer,bout chateau ferrande rouge,0
chatFerboy,chateau Ferboy,15000
chatGrandJardin,vin rouge chat grand jardin,20000
chatHautRoulet,chateau Haut Roulet,20000
chatMarl,bout chateau marlène,12000
chatMartin,bout chateau haut st martin rouge,0
chatMoinesMen,chateau moines menodin,15000
chateauLary,chateau lary,20000
chevalierLand,chevalier Landerac bx sup,20000
chretMerl,bout chretienne merlot rouge,0
chretR,bout chretienne rouge,12000
fiolePap,bout fiole pape rouge,0
gPalais,bout grand palais rouge,0
gPuch,bout grand puch rouge,0
grandNoir,bout le grd noir ,25000
hMedoc,bout le haut medoc rouge,0
haussCabS,haussmann cabernet sauvignon,15000
haussCabSauv,haussmann cabernet sauvignon,15000
haussMerl,haussmann merlot rouge,15000
haussR,bout haussmann rouge,0
leBellevue,Le Belleue,12000
loireMarchaisCab,Loire Marchais Cabernet Franc,12000
luisEsR,bout luis eschenauer rouge,0
magnumRempVir,magnum les remparts du Virou,45000
malesan,bout malesan bordeau rouge,0
marBois,bout marquis bois rouge,0
marsanR,bout chateau marsan rouge,0
mazMerl,bout roche mazet merlot rouge,0
mazSauv,bout roche mazet sauv rouge,0
monsBord,bout monsieur bordeaux rouge,0
monsBordSup,monsieur de bordeau superieur,25000
moutCadNor,bout mouton cadet normal rouge,20000
moutCadRes,bout mouton cadet reserve,0
noirMerl,bout le grd noir merlot rouge,25000
oustric,bout domaine oustric rouge,0
picnicR,vin rouge picnic,12000
puissantEleg,puissant et elegant cabSauv,15000
rempVirou,remparts du virou,25000
rocheMazR,bout roche mazet rouge,0
sagesse,bout sagesse rouge,0
seigneurieEnclos,seigneurie de l'enclos 2015,20000
taraniR,bout tarani rouge,15000
vinB1V,un verre de vin blanc,0
vinRouge1V,une coupe de chret rouge,5000

WHISKY
aber,bout aberlour ,0
ben,bout benriach,0
blackLab,bout black label 70 cl ,40000
blackLab1,bout black label 1L,0
cardhu,bout cardhu,60000
chivas12,bout chivas 12 ans 70cl,0
chivas12-1,bout chivas 12 ans 1L,0
chivas18,bout chivas 18 ans 70cl,0
chivas18-1,bout chivas 18 ans 1L,0
chivasEx,bout chivas extra 70cl,0
dimple,bou dimple,0
dimpleC,conso AR de bout Dimple,6000
doubleB1,bout double black 1L,0
doubleBlack,bout double black 70cl,0
glenB12,bout glenfiddich blanc 12 ans 70cl,0
glenB12L,glenfiddich 12 ans un litre,80000
glenRo15,bout glenfiddich rosé 15 ans 70cl,0
glenRo18,bout glenfiddich rosé 18 ans 70cl,0
glenlivet,bout glenlivet 70cl,0
goldBar,bout gold bar 70cl,0
goldLab,bout gold label 70cl,0
jack,bout jack daniel 70cl,30000
jack1,bout jack daniel 1L,0
jackBar,bout jack barrel 70cl,0
jackGent,bout jack gentleman 70cl,0
jackHo,bout jack honey 70cl,30000
jackSilv,bout jack silver 70cl,0
jb,bout jb 70cl,0
jbRes,bout de jb réserve 15 ans,60000
redLab70,bout red label 70cl,0
redLab75,red label 0.75 L,30000
single,bout singleton 75cl,0
will,bout williams lawson 70cl,0

ÉNERGÉTIQUE
atomic,atomic 33cl,2000
blackColaEnergy,black cola Energy drink,2000
power,black power ,2000
redBull,red bull 33cl,2000
rox,rox 33cl,2000
speedEnergy,speed energy,2000
xxl,xxl 33cl,2000
