ARTICLES;data6

Sat 12 Jun 2021

CODE;DÉSIGNATION;STOCK_MIN;STOCK;EN VENTE;PA;PV

BIÈRE
painHamb;1 portion de pain hamburger;0;0;V;253;0
painSandw;1 portion de pain sandwich;0;0;V;306;0
patNoire;1 portion de patte noire;0;compo;V;0;1000
patRouge;portion de pate rouge;0;0;V;0;1000
patRouges;patte rouge;0;compo;V;0;1000
pateBlanche;portion de pate blanche;0;compo;V;11;1000
pateRouge;pate rouge;0;0;V;0;1000
pateRougeB;pate rouge;0;compo;V;11;1000
petitPois;1 portion de petit pois;0;1;-;575;0
petitPoisPain;plat petit pois;;compo;V;538;2000
petitPoisPlat;plat de petit pois;;compo;V;1548;2000
pintade;1 portion de pintade;0;0;V;0;5000
piron;plat de piron;0;0;V;0;1000
poisson;1 portion de poisson;0;60;V;1169;5000
poissonFume;poisson fumé;0;12;V;222;0
pommeKg;pomme en kg;0;0;-;0;0
pommeSaute;portion de pomme;0;compo;V;0;1000
poulet;1 portion de poulet;0;56;V;912;0
pouletBi;1 portie de poulet bicyclette;0;125.5;V;981;5000
pouletBraise;poulet braisé;0;compo;V;912;2500
pouletCuisse;cuisses de poulet ;0;0;V;0;3000
purePomme;purée de pomme;0;compo;V;0;1000
riz;1 portion de riz;0;158;V;193;1000
rizCant;1 portion de riz cantonais;0;0;V;0;2000
rizCanto;riz cantonais;0;compo;V;442;1000
rizCantonais;riz cantonai;0;compo;V;359;10000
saladeAvoCrevet;salade avocat aux crevettes;;compo;V;1536;4000
saladeAvoPoulet;salade avocat au poulet;0;compo;V;739;3000
saladeCompo;salade compose;;compo;V;2117;6000
saladeCrudite;salade de crudité;0;compo;V;0;2500
saladeFruit;plat salade de fruit;0;0;V;0;2000
saladeMixte;salade mixte;;compo;V;811;3000
saladePoulet;salade au poulet;0;compo;V;663;3000
saladePouletBi;salade au poulet bicyclette;0;compo;V;860;4500
saladeTGV;salade tgv;0;compo;V;625;3000
sandwPoulet;sandwich de poulet;0;compo;V;599;2000
sandwSteak;sandwich steak;;compo;V;1716;2500
sandwViande;sandwich avec viande de boeuf;0;compo;V;1279;2000
sandwich;sandwich;0;compo;V;792;2000
sandwichTGV;sandwich TGV;0;compo;V;1922;2500
sauceArachide;sauce arachide;;compo;V;1370;5000
sauceBlokoto;sauce de blokoto;0;0;V;0;5000
sauceCreme;sauceCreme;0;compo;V;586;4000
sauceCrinCrin;sauce crincrin;;compo;V;1370;5000
sauceGombo;sauce de gombo;;compo;V;1370;5000
soupeBoyau;soupe de boyau;0;compo;V;817;5000
soupePoisson;soupe de poisson;0;compo;V;1169;4000
spagBolo;spaghetti bolognaise;0;compo;V;1312;4000
spagh;1 portion de spaghettis;0;15.25;V;122;1000
steakChamp;steak au champignon;0;compo;V;973;4000
thon;1 portion de thon;0;9.5;V;434;0
tilapiaG;poisson tilapia;0;0;V;1279;5000
tilapiaM;poisson tilapia moyen;0;2;V;857;4000
trioBroBoeuf;trio brochette de boeuf;0;compo;V;1460;4000
trioBroMerguez;trio brochette de merguez;;compo;V;1755;5000
trioBroPoisson;trio brochette de poisson;0;compo;V;1692;7500
trioBroPoulet;trio brochette de poulet;0;compo;V;879;5000
viandeBro;1 portion de boeuf pour 1 brochette;0;0;V;0;0
viandeChaw;viande pour chawarma;0;3;V;500;0
viandeH;viande hachée une portion;0;98;V;594;0
viandeNem;1 portion de viande pour nems;0;33;V;385;0
wangache;1 portion de wangache;0;4;V;339;0

DIVERSALCOOL
absenta;absenta;0;8.65;V;7021;0
agavita;tequila agavita;0;0;V;0;0
baileys;baileys;0;0;V;0;30000
bols;vodka bols 70cl;0;3;V;3330;0
boris;vodka boris;0;0;V;0;0
bottega;liqueur bottega 70cl;0;0;V;0;0
brizL;liqueur marie brizard mp;0;0;V;0;0
campari;liqueur campari 1L;0;0;V;0;30000
cointreau;liqueur cointreau;0;3.92;V;12038;0
cointreau350;cointreau 350 cl;0;3;V;16668;0
cointreauC;conso cointreau;0;compo;V;963;2000
diplomatico;rhum diplomatico;0;0;V;0;0
disaronno;disaronno;0;1;V;20000;50000
droitBouchon;droit de bouchon;0;0;V;0;10000
get27;Get 27;0;2;V;3333;2500
gordons;bout gordons;0;4.72;V;11095;20000
grants;liqueur grants;0;0;V;0;0
grdMarnier;bout grand marnier;0;0.02;V;14200;0
jelzin;vodka jelzin 70cl;0;0;V;0;0
kamel;rhum kamel 70cl;0;1.9;V;2549;0
litchiL;liqueur litchi;0;3;V;2300;0
malibu;malibu;0;0.02;V;4759;0
mangPaL;liqueur mangue passion;0;1;V;2300;0
martiniB;martini blanc 1L;0;0.08;V;6425;20000
martiniR;martini rouge;0;5.04;V;5336;20000
martiniRo;martini rosé;0;6;V;2558;0
molinari;bout de molinari;0;0;V;0;25000
orangeSec;orange sec ;0;2.95;V;4445;0
pachuca;tequila pachuca 70cl;0;0;V;0;0
podere;bout de podere;0;0;V;0;25000
ricard;liqueur ricard;0;1.7;V;7978;0
sanjoseS;tequila sanjose silver;0;1;V;8500;0
savoy;vodka savoy ;0;3;V;3042;0
smirnof;vodka smirnof;0;0;V;0;0
stJamesB;rhum saint james blanc 1L;0;3.14;V;7561;30000
stJamesR;rhum saint james rouge 1L;0;2.05;V;7010;30000
stPaul;rhum saint paul 70cl;0;0;V;0;0
stoli;vodka stolichnaya 70cl;0;4.34;V;5997;30000
sucreCan;bout sucre de canne 0.7L;0;14.46;V;1796;0
suze;liqueur suze;0;0.4;V;6061;25000
tBlanc;tequila blanc 70cl;0;1;V;4408;25000
tBlancC;conso tequila blanco;0;compo;V;0;4000
tChoco;tequila chocolat;0;0;V;0;25000
tElCobrizo;tequila el cobrizo;0;0;V;0;20000
tOnOffHecho;bout tequ. on off hecho 70 cl;0;0;V;0;20000
tripleSec;liqueur triple sec 70cl;0;2.02;V;3060;0
vodkaFili;vodka filirt;0;1;V;3450;20000
vodkaKavenina;vodka;0;0;V;0;20000
vodkaPoliakov;vodka poliakov;0;6;V;2667;20000
yeniRaki;bout de yeni raki;0;0;V;0;25000

EAU
eau;eau 50cl;0;191;V;147;1000
eau1.5;eau 1.5L;0;128;V;224;2000
eauGaz;eau gazefiee 50cl;0;13;V;283;1000
perrier;perrier 33cl;0;3;V;574;2000

GADGETSEVENT
gadget;tshirt;0;0;V;0;5000
gadgetStval;coffret, coeur petit et grand;0;0;V;0;0

JUS
jAnanas;jus ananas 1L;0;0;V;0;0
jBanane;jus banane 1L;0;0;V;0;0
jGoyave;jus goyave 1L;0;0;V;0;0
jMangue;jus mangue 1L;0;0;V;0;0
jOrange;jus orange 1L;0;1;V;835;0
jPamplem;jus pamplemousse 1L;0;2;V;1000;0
jPomme;jus pomme 1L;0;0;V;0;0
jRaisin;jus raisin 1L;0;0;V;0;0
jTamarin25;jus tamarin 25cl;0;3;V;278;0
jus1L;1 L jus;0;100.8;V;859;0

LAIT
lait;lait 1L;0;0;V;0;0

SIROP
sBanane;sirop banane 1L;0;0;V;0;0
sCanne;sirop de canne;0;0;V;0;0
sCassis;sirop de cassis;0;0;V;0;0
sFraise;sirop fraise 1L;0;0;V;0;0
sGinger1L;sirop gingembre 1 L;0;54.35;V;1469;0
sGrenadine;sirop grenadine 1L;0;0;V;0;0
sMenthe;sirop menthe 1L;0;0;V;0;0
sPamplem;sirop pamplemousse 1L;0;0;V;0;0
sPassion;sirop passion;0;0;V;0;0
sPeche;sirop pêche 1L;0;0;V;0;0
sTamarin;sirop tamarin 1 L;0;0;V;0;0
sTomate;sirop tomate 1L;0;0;V;0;0
sirop1L;bout sirop;0;0.01;V;2390;0
sirop1V;sirop;0;compo;V;478;2000

SODA
coca;coca 33cl;0;265;V;188;2000
cocaSS;cannette de coca sans sucre;0;0;V;0;2000
sprite;sprite;0;186;V;189;1000
spriteP;sprite plastique 33cl;0;75.89;V;109;0
tonic;tonic 33cl;0;42;V;190;1000

VERRECASSE
verreBW;verre a bierre ou wisky;0;0;V;0;2000
verreCV;verre à vin casse;0;0;V;0;2000

VINBLANC
baumeB;bout dom baume blanc;0;3;V;4500;0
chastSauvB;bout chastagnac Sauv. blanc;0;1;V;3908;20000
chretBM;chretienne blanc moelleux;0;4;V;3325;15000
cotLayon;coteaux du Layon;0;0;V;0;25000
granitierBM;granitier blanc moelleux;0;0;V;0;20000
haussB;bout haussmann blanc;0;2;V;4587;20000
luisEsB;bout luis esch blanc;0;0;V;0;0
marBernB;bout marquis bern blanc;0;0;V;0;0
marsanB;bout chat marsan blanc;0;3;V;5167;0
messidor;messidor;0;0;V;5917;25000
monbazB;bout monbazillac blanc;0;3;V;5500;0
muscadetAntique;muscadet antiqe;0;0;V;0;20000
premius;vin blanc Premius;0;0;V;0;25000
rocheMazB;bout roche mazet blanc;0;0;V;0;0
taraniB;bout tarani blanc;0;0;V;0;15000
taraniBM;tarani blanc Moeulleux;0;1;V;3753;15000

VINMOUSSEUX
celeneCRBrut;bouteil de vin mouseux;0;0;V;0;35000
coolR;bouteille de vin mousseux;0;0;V;0;15000
cremAlsM;bou crément Alsace mousseux;0;5.51;V;7031;30000
jourSpB;bout journée spéciale blanc;0;0;V;0;0
jourSpRo;bout journée spéciale rosée;0;1;V;2833;12000
jpB;bout jp chenet blanc;0;17;V;3929;20000
jpRo;bout jp chenet rosé;0;1;V;3709;20000
jpRo1.5;jp chenet rosé 1.5 L;0;0;V;0;30000
martiPeRo;bout martini pétillant rosé;0;2;V;5400;20000
musca;bout muscador mousseux;0;0;V;0;0
prosecco;bouteil de vin mousseux;0;0;V;0;35000

VINROSÉ
bePink;cannette de vin rosé Be Pink;0;0;V;0;2500
bePinkPack;4 cannettes de vin Rosé;;compo;V;0;7500
calend;bout les calendières vin rosé;0;0;V;0;0
chastSyRo;bout chastagnac syrah rosé;0;0;V;0;0
haussSyRo;haussmann Syrah Rosé;0;1;V;2965;15000
monsBordRo;monsieur Bordeaux rosé;0;1;V;5250;20000
rocheMazRo;bout roche mazet rosé;0;0;V;0;0
taraniRo;bout tarani rosé;0;5;V;3551;15000

VINROUGE
alexanderGreat;vin rouge alexander the great;0;1;V;3667;15000
armEmil;bout A-R st emilion rouge;0;0;V;0;0
balast;bout haut balastard rouge;0;3;V;3500;0
baumeR;bout domaine de la baume rouge;0;0;V;0;30000
bordEru;bout bordeaux sup eru rouge;0;3;V;9200;0
bouey;bout maison bouey rouge;0;3;V;9000;30000
cadiot;cadiot 2016;0;2;V;6917;30000
calvetRes;bout calvet grde reserve rouge;0;3;V;6300;0
