DONNÉES,baseC

Sat 04 Jul 2020

ARTICLES INVENTORIÉS
CODE,DÉSIGNATION,,PV,MIN

BIÈRE
jourSpRo,bout journée spéciale rosée,V,12000,0
jpB,bout jp chenet blanc,V,12000,0
jpRo,bout jp chenet rosé,V,12000,0
jpRo1.5,jp chenet rosé 1.5 L,V,30000,0
martiPeRo,bout martini pétillant rosé,V,20000,0
musca,bout muscador mousseux,V,0,0
prosecco,bouteil de vin mousseux,V,35000,0

VINROSÉ
bePink,cannette de vin rosé Be Pink,V,2500,0
calend,bout les calendières vin rosé,V,0,0
chastSyRo,bout chastagnac syrah rosé,V,0,0
haussSyRo,haussmann Syrah Rosé,V,15000,0
monsBordRo,monsieur Bordeaux rosé,V,20000,0
rocheMazRo,bout roche mazet rosé,V,0,0
taraniRo,bout tarani rosé,V,0,0

VINROUGE
alexanderGreat,vin rouge alexander the great,V,12000,0
armEmil,bout armes royales st emilion rouge,V,0,0
balast,bout haut balastard rouge,V,0,0
baumeR,bout domaine de la baume rouge,V,0,0
bordEru,bout bordeaux sup eru rouge,V,0,0
bouey,bout maison bouey rouge,V,0,0
cadiot,cadiot 2016,V,30000,0
calvetRes,bout calvet grde reserve rouge,V,0,0
carilloR,bouteille de vin rouge carillonade,V,20000,0
chastMerl,chastagnac merlot,V,15000,0
chastR,chastagnac  cabernet sauvignon,V,15000,0
chatBelAir,chateau Bel Air,V,25000,0
chatCol,bout chateau colombier rouge,V,0,0
chatFer,bout chateau ferrande rouge,V,0,0
chatFerboy,chateau Ferboy,V,15000,0
chatGrandJardin,vin rouge chat grand jardin,V,20000,0
chatHautRoulet,chateau Haut Roulet,V,20000,0
chatMarl,bout chateau marlène,V,12000,0
chatMartin,bout chateau haut st martin rouge,V,0,0
chatMoinesMen,chateau moines menodin,V,15000,0
chateauLary,chateau lary,V,20000,0
chevalierLand,chevalier Landerac bx sup,V,20000,0
chretMerl,bout chretienne merlot rouge,V,0,0
chretR,bout chretienne rouge,V,12000,0
fiolePap,bout fiole pape rouge,V,0,0
gPalais,bout grand palais rouge,V,0,0
gPuch,bout grand puch rouge,V,0,0
grandNoir,bout le grd noir ,V,25000,0
hMedoc,bout le haut medoc rouge,V,0,0
haussCabS,haussmann cabernet sauvignon,V,15000,0
