BILAN ANNUEL 2020;;;;
;;;;
data6;;;;
;;;;
Wed 01 Jan 2020;;;;
> Thu 31 Dec 2020;;;;
;;;;
RÉSULTATS GLOBAUX;;;;
;;;;
VINBLANC;;;;
baumeB;0;0;3;4500
chastSauvB;0;0;3;3908
chretBM;0;0;5;3325
cotLayon;0;0;0;0
granitierBM;0;0;0;0
haussB;0;0;3;4587
luisEsB;0;0;0;0
marBernB;0;0;0;0
marsanB;0;0;3;5167
messidor;0;0;1;5917
monbazB;0;0;3;5500
muscadetAntique;0;0;0;0
premius;0;0;0;0
rocheMazB;0;0;0;0
taraniB;0;0;0;0
taraniBM;0;0;2;3753
;;;;
VINMOUSSEUX;;;;
celeneCRBrut;0;0;0;0
coolR;0;0;0;0
cremAlsM;0;0;10;7031
jourSpB;0;0;0;0
jourSpRo;0;0;3;2833
jpB;0;0;28;3929
jpRo;0;0;4;3709
jpRo1.5;0;0;0;0
martiPeRo;0;0;2;5400
musca;0;0;0;0
prosecco;0;0;0;0
;;;;
VINROSÉ;;;;
bePink;0;0;0;0
calend;0;0;0;0
chastSyRo;0;0;0;0
haussSyRo;0;0;3;2965
monsBordRo;0;0;1;5250
rocheMazRo;0;0;0;0
taraniRo;0;0;9;3551
;;;;
VINROUGE;;;;
alexanderGreat;0;0;2;3667
armEmil;0;0;0;0
balast;0;0;3;3500
baumeR;0;0;0;0
bordEru;0;0;3;9200
bouey;0;0;4;9000
cadiot;0;0;2;6917
calvetRes;0;0;3;6300
carilloR;0;0;0;0
chastMerl;0;0;1;3040
chastR;0;0;0;0
chatBelAir;0;0;0;0
chatCol;0;0;3;4500
chatFer;0;0;0;0
chatFerboy;0;0;0;0
chatGrandJardin;0;0;0;0
chatHautRoulet;0;0;0;0
chatMarl;0;0;12;3300
chatMartin;0;0;0;0
chatMoinesMen;0;0;3;3750
chateauLary;0;0;0;0
chevalierLand;0;0;13;4845
chretMerl;0;0;3;3585
chretR;0;0;107;3658
fiolePap;0;0;1;17808
gPalais;0;0;3;6500
gPuch;0;0;3;6500
grandNoir;0;0;3;6500
hMedoc;0;0;0;0
haussCabS;0;0;3;3583
haussCabSauv;0;0;1;2965
haussMerl;0;0;3;4267
haussR;0;0;0;0
leBellevue;0;0;0;0
loireMarchaisCa;0;0;0;0
luisEsR;0;0;0;0
magnumRempVir;0;0;0;0
malesan;0;0;3;3500
marBois;0;0;0;0
marsanR;0;0;0;0
mazMerl;0;0;0;0
mazSauv;0;0;0;0
monsBord;0;0;0;0
monsBordSup;0;0;3;6675
moutCadNor;0;0;0;0
moutCadRes;0;0;3;10917
noirMerl;0;0;3;6500
oustric;0;0;1;5000
picnicR;0;0;0;0
puissantEleg;0;0;3;3183
rempVirou;0;0;0;0
rocheMazR;0;0;11;2972
sagesse;0;0;0;0
seigneurieEnclo;0;0;1;5917
taraniR;0;0;21;3610
;;;;
WHISKY;;;;
aber;0;0;3;22000
ben;0;0;0;0
blackLab;0;0;2,96;14950
blackLab1;0;0;0;0
cardhu;0;0;1;21120
chivas12;0;0;30;13123
chivas12-1;0;0;1,22;17389
chivas18;0;0;0;0
chivas18-1;0;0;3;43000
chivasEx;0;0;3;27000
dimple;0;0;0;0
doubleB1;0;0;0;0
doubleBlack;0;0;2;29700
glenB12;0;0;12,76;18721
glenB12L;0;0;3;35000
glenRo15;0;0;1;18000
glenRo18;0;0;4;32942
glenlivet;0;0;3;50000
goldBar;0;0;0;0
goldLab;0;0;3;34825
jack;0;0;17,16;10982
jack1;0;0;1;16500
jackBar;0;0;11;10833
