BILAN;;;;
;;;;
data6T;;;;
;;;;
Wed 25 May 2022;;;;
> Wed 25 May 2022;;;;
;;;;
RÉSULTATS GLOBAUX;;;;
;;;;
vodkaKavenina;0;0;0;0
vodkaPoliakov;5;2667;5;2667
yeniRaki;0;0;0;0
;;;;
EAU;;;;
eau;446;147;446;147
eau1.5;255;224;255;224
eauGaz;30;283;30;283
perrier;12;574;12;574
;;;;
GADGETSEVENT;;;;
gadget;0;0;0;0
gadgetStval;0;0;0;0
;;;;
JUS;;;;
jAnanas;0;0;0;0
jBanane;0;0;0;0
jGoyave;0;0;0;0
jMangue;0;0;0;0
jOrange;1;835;1;835
jPamplem;2;1000;2;1000
jPomme;0;0;0;0
jRaisin;0;0;0;0
jTamarin25;3;278;3;278
jus1L;116,4;859;116,4;859
;;;;
LAIT;;;;
lait;0;0;0;0
;;;;
SIROP;;;;
sBanane;0;0;0;0
sCanne;0;0;0;0
sCassis;0;0;0;0
sFraise;0;0;0;0
sGinger1L;56,35;1469;56,35;1469
sGrenadine;0;0;0;0
sMenthe;0;0;0;0
sPamplem;0;0;0;0
sPassion;0;0;0;0
sPeche;0;0;0;0
sTamarin;0;0;0;0
sTomate;0;0;0;0
sirop1L;0,01;2400;0,01;2400
;;;;
SODA;;;;
coca;619;188;631;193
cocaSS;0;0;0;0
sprite;405;189;400;189
spriteP;78,61;109;78,61;109
tonic;65;190;65;190
;;;;
VERRECASSE;;;;
verreBW;0;0;0;0
verreCV;0;0;0;0
;;;;
VINBLANC;;;;
baumeB;3;4500;3;4500
chastSauvB;3;3908;3;3908
chretBM;5;3325;5;3325
cotLayon;0;0;0;0
granitierBM;0;0;0;0
haussB;3;4587;3;4587
luisEsB;0;0;0;0
marBernB;0;0;0;0
marsanB;3;5167;3;5167
messidor;1;5917;1;5917
monbazB;3;5500;3;5500
muscadetAntique;0;0;0;0
premius;0;0;0;0
rocheMazB;0;0;0;0
taraniB;0;0;0;0
taraniBM;2;3753;2;3753
;;;;
VINMOUSSEUX;;;;
celeneCRBrut;0;0;0;0
coolR;0;0;0;0
cremAlsM;9,86;7031;9,86;7031
jourSpB;0;0;0;0
jourSpRo;3;2833;3;2833
jpB;24;3929;24;3929
jpRo;4;3709;4;3709
jpRo1.5;0;0;0;0
martiPeRo;1;5400;1;5400
musca;0;0;0;0
prosecco;0;0;0;0
;;;;
VINROSÉ;;;;
bePink;0;0;0;0
calend;0;0;0;0
chastSyRo;0;0;0;0
haussSyRo;2;2965;2;2965
monsBordRo;1;5250;1;5250
rocheMazRo;0;0;0;0
taraniRo;9;3551;9;3551
;;;;
VINROUGE;;;;
alexanderGreat;1;3667;1;3667
armEmil;0;0;0;0
balast;3;3500;3;3500
