DONNÉES;data6T

Wed 16 Jun 2021

CATÉGORIES
bière
boissonChaude
champagne
chicha
cigare
cocktail
cognac
conso
cuisine
diversAlcool
eau
gadgetsEvent
jus
lait
sirop
soda
verreCasse
vinBlanc
vinMousseux
vinRosé
vinRouge
whisky
énergétique

ARTICLES INVENTORIÉS
CODE;DÉSIGNATION;STOCK MIN;PA;;PV
litchiL;liqueur litchi;0;2300;V;0
mangPaL;liqueur mangue passion;0;2300;V;0
brizL;liqueur marie brizard mp;0;0;V;0
grants;liqueur grants;0;0;V;0
get27;Get 27;0;3333;V;2500
disaronno;disaronno;0;20000;V;50000
diplomatico;rhum diplomatico;0;0;V;0
cointreau;liqueur cointreau;0;12038;V;0
absenta;absenta;0;7021;V;0
gordons;bout gordons;0;11095;V;20000
sucreCan;bout sucre de canne 0.7L;0;1796;V;0
podere;bout de podere;0;0;V;25000
molinari;bout de molinari;0;0;V;25000
yeniRaki;bout de yeni raki;0;0;V;25000
grdMarnier;bout grand marnier;0;14200;V;0
vodkaPoliakov;vodka poliakov;0;2667;V;20000
cointreau350;cointreau 350 cl;0;16668;V;0
tOnOffHecho;bout tequ. on off hecho 70 cl;0;0;V;20000
vodkaKavenina;vodka;0;0;V;20000
tElCobrizo;tequila el cobrizo;0;0;V;20000
droitBouchon;droit de bouchon;0;0;V;10000
vodkaFili;vodka filirt;0;3450;V;20000

EAU
eau;eau 50cl;0;147;V;1000
eau1.5;eau 1.5L;0;224;V;2000
eauGaz;eau gazefiee 50cl;0;283;V;1000
perrier;perrier 33cl;0;574;V;2000

GADGETSEVENT
gadgetStval;coffret, coeur petit et grand;0;0;V;0
gadget;tshirt;0;0;V;5000

JUS
jAnanas;jus ananas 1L;0;0;V;0
jBanane;jus banane 1L;0;0;V;0
jRaisin;jus raisin 1L;0;0;V;0
jOrange;jus orange 1L;0;835;V;0
jPomme;jus pomme 1L;0;0;V;0
jGoyave;jus goyave 1L;0;0;V;0
jMangue;jus mangue 1L;0;0;V;0
jPamplem;jus pamplemousse 1L;0;1000;V;0
jTamarin25;jus tamarin 25cl;0;278;V;0
jus1L;1 L jus;0;859;V;0

LAIT
lait;lait 1L;0;0;V;0

SIROP
sCassis;sirop de cassis;0;0;V;0
sCanne;sirop de canne;0;0;V;0
sBanane;sirop banane 1L;0;0;V;0
sFraise;sirop fraise 1L;0;0;V;0
sGrenadine;sirop grenadine 1L;0;0;V;0
sGinger1L;sirop gingembre 1 L;0;1469;V;0
sMenthe;sirop menthe 1L;0;0;V;0
sPeche;sirop pêche 1L;0;0;V;0
sTamarin;sirop tamarin 1 L;0;0;V;0
sPassion;sirop passion;0;0;V;0
sPamplem;sirop pamplemousse 1L;0;0;V;0
sTomate;sirop tomate 1L;0;0;V;0
sirop1L;bout sirop;0;2390;V;0

SODA
coca;coca 33cl;0;188;V;2000
sprite;sprite;0;189;V;1000
spriteP;sprite plastique 33cl;0;109;V;0
tonic;tonic 33cl;0;190;V;1000
cocaSS;cannette de coca sans sucre;0;0;V;2000

VERRECASSE
verreCV;verre à vin casse;0;0;V;2000
verreBW;verre a bierre ou wisky;0;0;V;2000

VINBLANC
marsanB;bout chat marsan blanc;0;5167;V;0
baumeB;bout dom baume blanc;0;4500;V;0
haussB;bout haussmann blanc;0;4587;V;20000
luisEsB;bout luis esch blanc;0;0;V;0
marBernB;bout marquis bern blanc;0;0;V;0
monbazB;bout monbazillac blanc;0;5500;V;0
rocheMazB;bout roche mazet blanc;0;0;V;0
taraniB;bout tarani blanc;0;0;V;15000
chastSauvB;bout chastagnac Sauv. blanc;0;3908;V;20000
granitierBM;granitier blanc moelleux;0;0;V;20000
cotLayon;coteaux du Layon;0;0;V;25000
muscadetAntique;muscadet antiqe;0;0;V;20000
messidor;messidor;0;5917;V;25000
chretBM;chretienne blanc moelleux;0;3325;V;15000
taraniBM;tarani blanc Moeulleux;0;3753;V;15000
premius;vin blanc Premius;0;0;V;25000

VINMOUSSEUX
cremAlsM;bou crément Alsace mousseux;0;7031;V;30000
