ARTICLES,baseC1

Wed 08 Jul 2020

CODE,DÉSIGNATION,MIN,STOCK,,PA,PV
sirop1V,sirop,0,,V,0,2000

SODA
coca,coca 33cl,0,0,V,0,1000
cocaSS,cannette de coca sans sucre,0,0,V,0,2000
sprite,sprite,0,0,V,0,1000
spriteP,sprite plastique 33cl,0,0,V,0,0
tonic,tonic 33cl,0,0,V,0,1000

VERRECASSE
verreBW,verre à bière ou whisky,0,0,V,0,2000
verreCV,verre à vin casse,0,0,V,0,2000

VINBLANC
baumeB,bout dom baume blanc,0,0,V,0,0
chastSauvB,bout chastagnac Sauvignon bl,0,0,V,0,0
chretBM,chretienne blanc moelleux,0,0,V,0,15000
cotLayon,coteaux du Layon,0,0,V,0,25000
granitierBM,admirable granitier blanc moelleux,0,0,V,0,15000
haussB,bout haussmann blanc,0,0,V,0,0
luisEsB,bout luis esch blanc,0,0,V,0,0
marBernB,bout marquis bern blanc,0,0,V,0,0
marsanB,bout chat marsan blanc,0,0,V,0,0
messidor,messidor,0,0,V,0,25000
monbazB,bout monbazillac blanc,0,0,V,0,0
muscadetAntique,muscadet antiqe,0,0,V,0,15000
premius,vin blanc Premius,0,0,V,0,25000
rocheMazB,bout roche mazet blanc,0,0,V,0,0
taraniB,bout tarani blanc,0,0,V,0,15000
taraniBM,tarani blanc Moeulleux,0,0,V,0,15000

VINMOUSSEUX
celeneCRBrut,bouteil de vin mouseux,0,0,V,0,25000
coolR,bouteille de vin mousseux,0,0,V,0,15000
cremAlsM,bou crément Alsace mousseux,0,0,V,0,0
jourSpB,bout journée spéciale blanc,0,0,V,0,0
jourSpRo,bout journée spéciale rosée,0,0,V,0,12000
jpB,bout jp chenet blanc,0,0,V,0,12000
jpRo,bout jp chenet rosé,0,0,V,0,12000
jpRo1.5,jp chenet rosé 1.5 L,0,0,V,0,30000
martiPeRo,bout martini pétillant rosé,0,0,V,0,20000
musca,bout muscador mousseux,0,0,V,0,0
prosecco,bouteil de vin mousseux,0,0,V,0,35000

VINROSÉ
bePink,cannette de vin rosé Be Pink,0,0,V,0,2500
bePinkPack,4 cannettes de vin Rosé,0,,V,0,7500
calend,bout les calendières vin rosé,0,0,V,0,0
chastSyRo,bout chastagnac syrah rosé,0,0,V,0,0
haussSyRo,haussmann Syrah Rosé,0,0,V,0,15000
monsBordRo,monsieur Bordeaux rosé,0,0,V,0,20000
rocheMazRo,bout roche mazet rosé,0,0,V,0,0
taraniRo,bout tarani rosé,0,0,V,0,0

VINROUGE
alexanderGreat,vin rouge alexander the great,0,0,V,0,12000
armEmil,bout a-r st emilion rouge,0,0,V,0,0
balast,bout haut balastard rouge,0,0,V,0,0
baumeR,bout domaine de la baume rouge,0,0,V,0,0
bordEru,bout bordeaux sup eru rouge,0,0,V,0,0
bouey,bout maison bouey rouge,0,0,V,0,0
cadiot,cadiot 2016,0,0,V,0,30000
calvetRes,bout calvet grde reserve rouge,0,0,V,0,0
carilloR,bouteille de vin rouge carillonade,0,0,V,0,20000
chastMerl,chastagnac merlot,0,0,V,0,15000
chastR,chastagnac cabernet sauvignon,0,0,V,0,15000
chatBelAir,chateau Bel Air,0,0,V,0,25000
chatCol,bout chateau colombier rouge,0,0,V,0,0
chatFer,bout chateau ferrande rouge,0,0,V,0,0
chatFerboy,chateau Ferboy,0,0,V,0,15000
chatGrandJardin,vin rouge chat grand jardin,0,0,V,0,20000
chatHautRoulet,chateau Haut Roulet,0,0,V,0,20000
chatMarl,bout chateau marlène,0,0,V,0,12000
chatMartin,bout chateau haut st martin rouge,0,0,V,0,0
chatMoinesMen,chateau moines menodin,0,0,V,0,15000
chateauLary,chateau lary,0,0,V,0,20000
chevalierLand,chevalier Landerac bx sup,0,0,V,0,20000
chretMerl,bout chretienne merlot rouge,0,0,V,0,0
chretR,bout chretienne rouge,0,0,V,0,12000
fiolePap,bout fiole pape rouge,0,0,V,0,0
gPalais,bout grand palais rouge,0,0,V,0,0
gPuch,bout grand puch rouge,0,0,V,0,0
grandNoir,bout le grd noir ,0,0,V,0,25000
hMedoc,bout le haut medoc rouge,0,0,V,0,0
haussCabS,haussmann cabernet sauvignon,0,0,V,0,15000
haussCabSauv,haussmann cabernet sauvignon,0,0,V,0,15000
haussMerl,haussmann merlot rouge,0,0,V,0,15000
haussR,bout haussmann rouge,0,0,V,0,0
leBellevue,Le Belleue,0,0,V,0,12000
loireMarchaisCab,Loire Marchais Cabernet Franc,0,0,V,0,12000
luisEsR,bout luis eschenauer rouge,0,0,V,0,0
magnumRempVir,magnum les remparts du Virou,0,0,V,0,45000
malesan,bout malesan bordeau rouge,0,0,V,0,0
marBois,bout marquis bois rouge,0,0,V,0,0
marsanR,bout chateau marsan rouge,0,0,V,0,0
mazMerl,bout roche mazet merlot rouge,0,0,V,0,0
mazSauv,bout roche mazet sauv rouge,0,0,V,0,0
monsBord,bout monsieur bordeaux rouge,0,0,V,0,0
monsBordSup,monsieur de bordeau superieur,0,0,V,0,25000
moutCadNor,bout mouton cadet normal rouge,0,0,V,0,20000
moutCadRes,bout mouton cadet reserve,0,0,V,0,0
noirMerl,bout le grd noir merlot rouge,0,0,V,0,25000
oustric,bout domaine oustric rouge,0,0,V,0,0
picnicR,vin rouge picnic,0,0,V,0,12000
puissantEleg,puissant et elegant cabSauv,0,0,V,0,15000
rempVirou,remparts du virou,0,0,V,0,25000
rocheMazR,bout roche mazet rouge,0,0,V,0,0
sagesse,bout sagesse rouge,0,0,V,0,0
seigneurieEnclos,seigneurie de l'enclos 2015,0,0,V,0,20000
taraniR,bout tarani rouge,0,0,V,0,15000
vinB1V,un verre de vin blanc,0,,V,0,0
vinRouge1V,une coupe de chret rouge,0,,V,0,5000

WHISKY
aber,bout aberlour ,0,0,V,0,0
ben,bout benriach,0,0,V,0,0
blackLab,bout black label 70 cl ,0,0,V,0,40000
blackLab1,bout black label 1L,0,0,V,0,0
cardhu,bout cardhu,0,0,V,0,60000
chivas12,bout chivas 12 ans 70cl,0,0,V,0,0
chivas12-1,bout chivas 12 ans 1L,0,0,V,0,0
chivas18,bout chivas 18 ans 70cl,0,0,V,0,0
chivas18-1,bout chivas 18 ans 1L,0,0,V,0,0
chivasEx,bout chivas extra 70cl,0,0,V,0,0
dimple,bou dimple,0,0,V,0,0
dimpleC,conso AR de bout Dimple,,,V,0,6000
doubleB1,bout double black 1L,0,0,V,0,0
doubleBlack,bout double black 70cl,0,0,V,0,0
glenB12,bout glenfiddich blanc 12 ans 70cl,0,0,V,0,0
glenB12L,glenfiddich 12 ans un litre,0,0,V,0,80000
glenRo15,bout glenfiddich rosé 15 ans 70cl,0,0,V,0,0
glenRo18,bout glenfiddich rosé 18 ans 70cl,0,0,V,0,0
glenlivet,bout glenlivet 70cl,0,0,V,0,0
goldBar,bout gold bar 70cl,0,0,V,0,0
goldLab,bout gold label 70cl,0,0,V,0,0
jack,bout jack daniel 70cl,0,0,V,0,30000
jack1,bout jack daniel 1L,0,0,V,0,0
jackBar,bout jack barrel 70cl,0,0,V,0,0
jackGent,bout jack gentleman 70cl,0,0,V,0,0
jackHo,bout jack honey 70cl,0,0,V,0,30000
jackSilv,bout jack silver 70cl,0,0,V,0,0
jb,bout jb 70cl,0,0,V,0,0
jbRes,bout de jb réserve 15 ans,0,0,V,0,60000
redLab70,bout red label 70cl,0,0,V,0,0
redLab75,red label 0.75 L,0,0,V,0,30000
single,bout singleton 75cl,0,0,V,0,0
will,bout williams lawson 70cl,0,0,V,0,0

ÉNERGÉTIQUE
atomic,atomic 33cl,0,0,V,0,2000
blackColaEnergy,black cola Energy drink,0,0,V,0,2000
power,black power ,0,0,V,0,2000
redBull,red bull 33cl,0,0,V,0,2000
rox,rox 33cl,0,0,V,0,2000
speedEnergy,speed energy,0,0,V,0,2000
xxl,xxl 33cl,0,0,V,0,2000
